,Accuracy,Precision,Recall,F1 Score
Support Vector Machine,0.8161666666666667,0.7977465299277605,0.8161666666666667,0.7924865088172585
Random Forest,0.8146666666666667,0.7959140032765876,0.8146666666666667,0.794743449208092
Logistic Regression,0.809,0.7910928120202282,0.809,0.7712668480800525
Naive Bayes,0.7525,0.773367912144993,0.7525,0.7610340646543096
Decision Tree,0.726,0.7320458010310852,0.726,0.7288933430294215
